Sum of balls,Sum of batsman_id,Sum of batsman_position,Sum of bowler_id,fielders,Sum of fours,Sum of innings,isout,Sum of match_id,Sum of runs,Sum of sixes,Sum of strikerate,team,wickettype
27,105064,13,60939,{2024},3,4,true,967477,29,0,188.81,Daredevils,caught
29,7773,3,0,{2024},6,2,true,419144,47,1,162.06,Daredevils,run out
55,153111,19,108806,{2024},2,7,true,1824836,62,4,474.42,Kings XI,caught
26,23177,10,104403,{2024},3,3,true,1049615,29,1,116,KKR,caught
72,59991,19,162559,{2024},11,8,true,2141777,83,1,599.87,Mumbai,caught
20,44946,1,7129,{2024},3,2,true,392221,22,0,110,RCB,caught
81,37455,15,123932,{2024},7,4,true,1778874,81,0,377.51,Royals,caught
14,12084,3,0,"{2041,53754}",1,2,true,598042,11,0,78.57,Warriors,run out
6,47391,7,0,"{2041,7593}",0,2,true,392224,3,0,50,RCB,run out
29,60744,12,32679,{2041},5,6,true,1203568,48,3,311.57,Chargers,caught
72,16594,7,53050,{2041},14,4,true,728207,123,5,340.91,Daredevils,caught
8,7716,4,53549,{2041},0,1,true,336039,4,0,50,Kings XI,caught
16,32986,18,77114,{2041},1,4,true,1256365,19,1,388.88,KKR,caught
17,8999,5,59260,{2041},2,1,true,548360,22,0,129.41,Mumbai,caught
32,34642,15,28999,{2041},3,4,true,1147364,34,0,325.26,Royals,caught
9,12049,3,47078,{2041},1,2,true,598004,5,0,55.55,Sunrisers,caught
15,49342,1,2041,{2041},1,2,true,548318,11,0,73.33,Super Kings,caught
36,48405,5,7520,{2101},6,1,true,335988,66,4,183.33,Chargers,caught
44,11647,1,48373,{2101},7,1,true,336017,48,0,109.09,KKR,caught
1,7139,6,0,"{2119,7593}",0,1,true,392227,1,0,100,Mumbai,run out
9,11920,7,0,"{2119,9505}",1,1,true,419121,7,0,77.77,Kings XI,run out
43,4382,4,0,{2119},3,1,true,419110,50,3,116.27,Chargers,run out
12,56520,2,54509,{2119},1,3,true,838271,10,0,175,Daredevils,caught
58,54727,14,47528,{2119},3,2,true,838306,65,4,270,KKR,caught
52,111602,17,77822,{2119},10,6,true,1622669,72,2,602.77,Mumbai,caught
11,14503,15,11063,{2119},1,4,true,784409,10,0,183.33,RCB,caught
33,49247,4,9022,{2119},2,2,true,392202,37,1,112.12,Royals,caught
5,7716,5,51453,{2121},0,2,true,336013,2,0,40,Kings XI,caught
5,2232,1,53549,{2121},1,1,true,336029,5,0,100,RCB,caught
1,53548,10,0,{2166},0,2,true,419120,0,0,0,Daredevils,run out
20,7781,2,7447,{2228},3,2,true,336004,40,3,200,Daredevils,caught
56,10129,1,55402,{2228},7,1,true,336028,81,4,144.64,Kings XI,caught
1,61988,1,7139,{2230},0,2,true,598006,0,0,0,Daredevils,caught
18,15117,9,56094,{2230},0,4,true,671964,6,0,37.5,RCB,caught
7,15716,3,10130,{2230},1,2,true,598002,10,0,142.85,Super Kings,caught
8,10787,1,0,"{2232,10556}",1,1,true,419154,9,0,112.5,Royals,run out
7,4173,7,0,"{2232,11920}",0,1,true,598031,2,0,28.57,Kings XI,run out
19,9900,3,0,"{2232,7520}",2,1,true,548335,23,0,121.05,Chargers,run out
81,178382,34,180347,{2232},10,12,true,3344379,88,2,541.66,Chargers,caught
60,80310,15,162644,{2232},9,7,true,2714449,74,2,469.98,Daredevils,caught
84,36237,15,145557,{2232},13,6,true,1751872,120,4,515.37,Kings XI,caught
20,4048,5,55997,{2232},2,2,true,728181,11,0,95.83,KKR,caught
8,10384,1,59261,{2232},0,1,true,501242,1,0,12.5,Kochi,caught
91,73542,20,144994,{2232},7,5,true,1986717,117,5,477.29,Mumbai,caught
12,7568,1,5966,{2232},6,2,true,501255,38,2,316.66,RCB,caught
51,114943,5,55797,{2232},3,2,true,1099252,49,2,171.11,Royals,caught
36,48860,15,121502,{2232},2,6,true,1592393,34,2,296.53,Super Kings,caught
18,26889,6,7520,{2232},0,2,true,548375,12,0,66.66,Warriors,caught
2,47100,10,0,"{2281,3947}",0,1,true,419115,0,0,0,Royals,run out
4,9022,9,0,"{2281,52539}",0,2,true,336029,0,0,0,Super Kings,run out
1,7139,8,0,"{2281,8726}",0,2,true,598019,1,0,100,Mumbai,run out
130,120560,21,138825,{2281},22,8,true,3581494,179,6,873.28,Daredevils,caught
46,32242,8,78556,{2281},5,4,true,1565459,50,1,271.13,Kings XI,caught
23,9800,3,50501,{2281},6,3,true,967460,39,1,289.16,KKR,caught
11,7773,2,0,{2281},2,2,true,548320,11,0,100,KKR,run out
10,3317,2,0,{2281},1,1,true,501225,8,0,80,Kochi,run out
33,9453,9,94361,{2281},5,2,true,811327,35,0,209.09,Mumbai,caught
11,10406,1,48319,{2281},0,2,true,392182,2,0,18.18,Royals,caught
56,13849,7,54832,{2281},4,3,true,755129,61,2,200.7,Super Kings,caught
114,10494,6,0,{2281},27,5,true,1409334,185,3,472.53,Super Kings,run out
16,8742,1,50483,{2281},3,2,true,598009,32,2,200,Warriors,caught
13,7129,8,2314,{2314},1,2,true,419131,17,0,130.76,KKR,caught
42,2232,1,51181,{2314},5,2,true,419140,54,1,128.57,RCB,caught
9,11624,9,15585,{2314},0,2,true,838310,2,0,45,Super Kings,caught
6,58893,10,0,"{2347,4176}",0,3,true,784445,4,0,125,Kings XI,run out
1,12106,2,0,"{2347,47123}",0,2,true,392205,0,0,0,Royals,run out
19,64301,6,108155,{2347},4,5,true,1203558,23,0,224.66,Daredevils,caught
63,29244,12,58859,{2347},6,5,true,1147377,81,3,351.63,Kings XI,caught
74,71513,17,184365,{2347},6,4,true,1649560,79,3,450.42,KKR,caught
23,7786,2,0,{2347},3,1,true,336014,24,0,104.34,KKR,run out
27,1934,2,48431,{2347},3,2,true,392192,36,2,133.33,Mumbai,caught
84,63110,19,203310,{2347},14,6,true,1512697,105,0,425.15,RCB,caught
1,49752,3,0,{2347},0,1,true,548367,3,0,300,RCB,run out
57,43647,14,142677,{2347},11,6,true,1120421,92,4,355.2,Royals,caught
77,74570,17,77285,{2347},7,5,true,1483416,92,4,401.93,Super Kings,caught
47,56512,3,96203,{24667},8,4,true,784470,62,1,290.34,Daredevils,caught
13,4382,4,0,{24672},0,2,true,392228,18,1,138.46,Chargers,run out
2,45257,5,0,"{24777,51482}",0,1,true,598020,3,0,150,Super Kings,run out
48,8813,3,47289,{24777},14,1,true,598006,86,2,179.16,Mumbai,caught
23,7593,4,58274,{24777},5,1,true,598020,44,1,191.3,Super Kings,caught
6,47154,9,50121,{26889},1,1,true,501250,11,0,183.33,Chargers,caught
42,9639,4,48965,{26889},1,2,true,548308,32,0,76.19,Mumbai,caught
1,51109,8,0,"{3317,47123}",0,2,true,335990,1,0,100,Royals,run out
12,2024,3,59325,{3317},0,1,true,392184,1,0,8.33,KKR,caught
11,17850,1,47123,{3317},3,1,true,335994,13,0,118.18,Mumbai,caught
15,23494,11,71926,{3317},1,2,true,838282,16,0,208.92,Royals,caught
20,9900,2,0,"{3328,8742}",4,2,true,980909,23,0,115,Mumbai,run out
19,124320,3,150273,{3328},2,3,true,2510199,16,0,235.14,Daredevils,caught
18,15716,3,51012,{3328},1,2,true,980975,14,0,77.77,Guj Lions,caught
18,44853,6,47100,{35344},1,2,true,501224,21,1,116.66,Chargers,stumping
8,8107,3,47123,{35344},1,2,true,548325,9,0,112.5,Daredevils,caught
4,58274,10,7139,{35344},0,1,true,501201,0,0,0,Daredevils,stumping
19,49752,3,49040,{35344},2,1,true,501205,12,0,63.15,RCB,caught
32,10125,1,45105,{35344},3,2,true,501231,26,1,81.25,Royals,caught
20,57196,7,53978,{35384},1,1,true,734039,12,0,60,Daredevils,caught
55,17668,6,22399,{35384},8,2,true,1400126,73,3,264.68,Kings XI,caught
59,110681,8,125905,{35384},9,5,true,2297825,107,6,421.33,KKR,caught
34,57019,10,0,{35384},4,4,true,1463356,31,0,241.79,KKR,run out
43,70035,9,133684,{35384},1,4,true,1714960,54,4,308.57,RCB,caught
6,59600,2,9022,{35384},2,2,true,734033,11,0,183.33,Royals,caught
8,51096,2,0,{35384},2,1,true,729291,13,0,162.5,Royals,run out
3,12701,5,0,{35384},0,1,true,829799,2,0,66.66,Sunrisers,run out
64,100080,9,29282,{35384},6,5,true,2197317,89,4,268.48,Super Kings,caught
25,15716,3,0,{35384},12,2,true,734047,87,6,348,Super Kings,run out
9,54479,6,0,"{35812,12701}",0,1,true,548307,18,2,200,KKR,run out
78,70610,10,71402,{35812},16,3,true,1503675,112,2,341.21,Chargers,caught
88,137510,7,168396,{35812},11,6,true,3002465,109,2,317.42,Daredevils,caught
88,186018,19,216884,{35812},13,4,true,4362668,130,2,568.21,Kings XI,caught
40,110793,11,60988,{35812},4,3,true,1715016,48,2,271.87,KKR,caught
26,112264,10,58448,{35812},6,2,true,2117617,54,3,350.72,Mumbai,caught
13,49752,2,75993,{35812},0,1,true,1082621,10,1,76.92,RCB,caught
8,53330,7,0,{35812},0,2,true,733977,5,0,62.5,RCB,run out
102,214233,24,229783,{35812},15,8,true,4625595,124,1,586.55,Royals,caught
49,113270,6,116782,{35812},3,3,true,1734594,55,2,144.2,Sunrisers,caught
27,63224,4,51012,{35812},2,1,true,1304099,25,0,92.59,Super Giants,caught
18,25221,11,64696,{35812},0,3,true,1332044,17,1,175.32,Super Kings,caught
45,112280,5,108054,{35812},9,2,true,2165206,76,3,347.68,Supergiant,caught
7,61999,2,0,{35812},1,2,true,1082629,6,0,85.71,Supergiant,run out
27,44946,1,15308,{35812},5,1,true,501213,60,5,222.22,Warriors,caught
9,8163,6,0,"{3947,48319}",0,2,true,392236,8,0,88.88,Chargers,run out
19,7773,1,48249,{3947},1,2,true,392194,16,0,84.21,Daredevils,caught
25,61189,10,68266,{3947},4,3,true,1120452,26,0,291.66,KKR,caught
13,56155,11,68319,{3947},0,3,true,1203545,4,0,91.66,Mumbai,caught
38,8742,4,7987,{3947},5,1,true,335985,48,1,126.31,Mumbai,stumping
15,49752,3,2232,{3947},2,2,true,501255,15,0,100,RCB,caught
14,62725,5,55997,{3947},5,4,true,671984,21,0,175,Royals,caught
27,58076,11,3946,{3947},1,2,true,838230,12,0,77.77,Royals,stumping
64,70989,13,117750,{3947},3,6,true,1622708,46,1,251.91,Super Kings,caught
12,11399,6,0,"{4073,53549}",0,1,true,336039,3,0,25,Kings XI,run out
30,12106,2,7528,{4073},5,2,true,336005,32,0,106.66,Royals,caught
7,9257,3,0,{4073},1,2,true,336040,6,0,85.71,Royals,run out
16,8742,5,8163,{4169},0,1,true,336024,7,0,43.75,Mumbai,caught
65,26307,10,149943,{4169},5,4,true,1008051,44,0,162.54,Super Kings,caught
10,25474,5,102329,{4173},1,3,true,1096725,9,0,158.33,Chargers,caught
15,60138,5,60920,{4173},4,4,true,1096743,19,0,246.42,Daredevils,caught
36,57218,7,101195,{4173},3,4,true,1096678,53,3,216.66,Mumbai,caught
17,58269,2,53549,{4173},2,2,true,598021,19,0,111.76,Sunrisers,caught
20,46933,1,4173,{4173},3,2,true,548343,29,2,145,Super Kings,caught
2,50837,9,0,"{4176,48319}",0,2,true,598016,1,0,50,KKR,run out
2,49318,7,0,"{4176,59325}",0,2,true,392188,1,0,50,RCB,run out
148,218711,32,282115,{4176},15,17,true,4395546,151,7,782.77,Daredevils,caught
10,32543,21,0,{4176},2,3,true,1120480,18,1,333.32,Daredevils,run out
48,7773,1,48431,{4176},7,1,true,336020,79,3,164.58,Daredevils,stumping
14,17845,6,66166,{4176},1,3,true,811372,18,1,138.46,Kings XI,caught
81,59429,12,214655,{4176},16,10,true,3120292,102,0,399.29,KKR,caught
17,11984,4,0,{4176},2,1,true,392228,43,4,252.94,KKR,run out
25,15490,11,96862,{4176},2,2,true,784368,19,1,191.22,KKR,stumping
164,223883,31,347459,{4176},25,14,true,3786161,203,4,1115.84,Mumbai,caught
30,88608,17,192614,{4176},2,6,true,1731731,28,0,353.4,Mumbai,stumping
72,183763,24,142810,{4176},6,13,true,2961245,72,2,396.86,RCB,caught
73,160273,22,152811,{4176},9,9,true,2070162,88,4,577.34,RCB,stumping
33,14834,13,145069,{4176},2,6,true,1588233,30,2,198.52,Royals,caught
28,20815,5,50597,{4176},2,4,true,811346,22,1,155.07,Royals,stumping
18,15731,7,54010,{4176},2,1,true,598056,22,1,122.22,Sunrisers,caught
116,162143,22,275868,{4176},11,11,true,4179137,123,6,894.9,Super Kings,caught
41,8821,4,0,{4176},3,1,true,419163,37,1,90.24,Super Kings,run out
59,55677,7,95616,{4176},7,3,true,920316,96,5,309.59,Super Kings,stumping
89,116362,18,209379,{4176},16,8,true,2699680,107,1,503.84,Warriors,caught
29,56437,11,18044,{4271},3,2,true,784378,27,0,181.73,Daredevils,caught
22,47211,10,13293,{4271},2,4,true,784370,21,0,136.11,RCB,caught
1,48431,10,0,"{4380,8813}",0,1,true,392201,1,0,100,Chargers,run out
37,61441,8,15482,{4380},7,2,true,893409,59,2,293.64,Chargers,caught
57,66735,5,57626,{4380},8,3,true,940533,88,3,319.83,Kings XI,caught
4,45358,6,2041,{4380},0,1,true,548315,3,0,75,KKR,caught
3,10556,8,7678,{4380},0,1,true,501247,3,0,100,Kochi,caught
12,44930,4,53582,{4380},1,2,true,392232,25,3,208.33,RCB,caught
11,65978,11,20240,{4380},2,4,true,940534,9,0,153.33,Royals,caught
52,49342,2,51455,{4380},4,1,true,501271,95,6,182.69,Super Kings,caught
17,34747,2,51455,{4380},0,2,true,501232,8,0,47.05,Warriors,caught
9,47154,9,0,"{4382,48998}",0,2,true,501224,4,0,44.44,Chargers,run out
22,49005,2,49040,{4382},0,1,true,501256,20,2,90.9,Chargers,caught
46,63883,19,55588,{4382},6,5,true,1312589,67,2,391.48,Daredevils,caught
90,111114,18,160932,{4382},11,7,true,1758627,132,6,581.19,Kings XI,caught
13,19647,6,48431,{4382},1,2,true,335986,13,1,100,KKR,caught
26,94297,9,59724,{4382},6,2,true,838268,44,1,353.75,Mumbai,caught
38,61801,13,59724,{4382},4,3,true,838296,62,4,299.04,RCB,caught
48,72419,18,63458,{4382},7,5,true,1091121,99,9,530.35,Royals,caught
21,26891,16,73633,{4382},2,3,true,1257473,20,0,288.88,Super Kings,caught
15,58323,17,90210,{4382},1,2,true,1002436,13,0,184.61,Warriors,caught
9,7520,8,0,"{44660,8742,47023}",1,2,true,598061,10,0,111.11,KKR,run out
14,6315,1,0,"{44660,8742}",3,2,true,548337,18,0,128.57,Daredevils,run out
30,12630,2,64697,{44660},5,3,true,1196102,26,0,178.27,Daredevils,caught
73,9592,3,93554,{44691},11,2,true,838278,124,9,325.64,KKR,caught
17,94297,9,56090,{44691},2,4,true,838264,28,2,353.84,Mumbai,caught
3,49752,7,47184,{44691},0,1,true,392191,2,0,66.66,RCB,caught
24,110083,10,98973,{44691},2,4,true,1659514,31,2,177.89,Royals,caught
23,7716,4,7678,{44814},2,2,true,501232,41,3,178.26,Warriors,caught
17,8107,3,47154,{44829},1,2,true,729301,16,1,94.11,Daredevils,caught
65,62003,5,25124,{44829},7,2,true,1458590,125,12,357.29,Kings XI,caught
28,8742,1,48998,{44829},4,1,true,829713,35,0,125,KKR,caught
19,7568,1,15731,{44829},3,2,true,733977,27,2,142.1,RCB,caught
43,26503,12,77486,{44829},5,6,true,1925421,36,0,227.5,Royals,caught
13,15716,3,12562,{44829},1,2,true,598030,16,0,123.07,Super Kings,caught
0,45105,9,0,"{44853,48381}",0,2,true,501256,0,0,0,Mumbai,run out
16,50121,9,0,"{44853,48431}",0,1,true,501259,16,1,100,Warriors,run out
5,15731,8,0,"{44853,63477}",0,1,true,1082650,1,0,20,Mumbai,run out
53,87218,6,146737,{44853},4,2,true,2508202,61,2,222.85,Capitals,caught
59,145702,14,224630,{44853},11,9,true,3134638,76,2,566.35,Daredevils,caught
53,219521,22,172977,{44853},5,7,true,2633539,46,0,297.13,Kings XI,caught
14,142371,8,117814,{44853},2,3,true,1852075,23,2,273.33,KKR,caught
35,49247,7,12562,{44853},2,2,true,501229,23,0,65.71,Kochi,caught
82,208915,24,316758,{44853},8,9,true,5050345,102,4,606.36,Mumbai,caught
14,70277,4,71379,{44853},2,2,true,1254090,20,1,142.85,Punjab Kings,caught
22,84005,14,66576,{44853},4,4,true,1583832,28,0,209.51,RCB,caught
31,51096,2,12562,{44853},5,2,true,548326,44,1,141.93,Royals,caught
93,219707,17,262281,{44853},14,6,true,5016316,118,1,464.79,Sunrisers,caught
78,109582,7,114258,{44853},9,3,true,2350698,105,5,411.28,Super Kings,caught
6,10125,4,49247,{44865},0,2,true,729297,7,1,116.66,Royals,caught
1,7593,5,10125,{44876},0,1,true,419137,0,0,0,Super Kings,caught
34,9505,4,0,{44876},3,1,true,419137,62,5,182.35,Super Kings,run out
8,2000,7,0,"{44908,51216}",0,1,true,336000,7,0,87.5,Royals,run out
3,20247,9,49127,{44930},0,2,true,811390,0,0,0,Chargers,caught
21,15554,3,50551,{44930},3,2,true,784464,27,1,142.1,Daredevils,caught
12,7781,2,0,{44930},3,1,true,335998,24,1,200,Daredevils,run out
79,62461,14,209517,{44930},9,6,true,2927318,86,1,275.04,KKR,caught
65,110312,15,124914,{44930},10,5,true,2436232,60,0,371.28,Mumbai,caught
24,7419,2,2000,{44930},8,2,true,501252,38,0,158.33,RCB,caught
48,2281,3,7716,{44930},8,1,true,598009,54,0,112.5,Royals,caught
22,49342,2,47308,{44930},2,2,true,598015,24,1,109.09,Super Kings,caught
31,51454,2,9815,{44930},4,1,true,501235,30,0,96.77,Warriors,caught
17,15887,1,7716,{44946},1,1,true,501250,24,2,141.17,Chargers,caught
32,19506,7,52834,{44946},1,4,true,1096670,42,3,264.93,Daredevils,caught
70,59253,11,23032,{44946},5,5,true,1441706,95,5,342.37,Kings XI,caught
43,10384,1,50121,{44946},5,1,true,548375,41,0,95.34,KKR,caught
24,1934,2,7716,{44946},5,1,true,501241,24,0,100,Mumbai,caught
14,15473,5,1973,{44946},1,2,true,392182,11,0,78.57,Royals,caught
4,9505,5,46591,{44946},0,1,true,501226,0,0,0,Super Kings,caught
12,2281,5,0,"{45105,7139}",0,2,true,392218,10,0,83.33,RCB,run out
18,6315,4,0,"{45105,8999}",2,1,true,419132,20,0,111.11,Kings XI,run out
15,108533,20,137310,{45105},0,4,true,1597884,5,0,101.66,Chargers,caught
7,12049,4,0,{45105},0,2,true,501224,1,0,14.28,Chargers,run out
32,64183,12,60837,{45105},2,3,true,1099207,30,1,146.66,Daredevils,caught
6,127056,13,0,{45105},0,3,true,1331026,8,1,160,Kings XI,run out
100,136260,26,179326,{45105},7,8,true,3451077,106,4,495.76,KKR,caught
32,104367,13,103818,{45105},3,4,true,1468756,41,1,361.02,RCB,caught
25,75295,12,144456,{45105},4,4,true,1538665,27,0,371.42,Royals,caught
29,12619,6,0,{45105},2,2,true,419107,41,2,141.37,Royals,run out
29,15887,1,53716,{45105},7,2,true,829751,42,1,144.82,Sunrisers,caught
54,69794,14,104807,{45105},6,4,true,2145890,70,1,383.37,Super Kings,caught
1,7630,7,45105,{45105},0,2,true,501241,0,0,0,Warriors,caught
60,6253,3,0,"{45222,48349}",5,2,true,392203,73,3,121.66,KKR,run out
5,10401,8,0,"{45222,51482}",4,1,true,829761,17,0,340,KKR,run out
3,8813,6,0,"{45222,70633}",1,2,true,1136601,5,0,166.66,KKR,run out
2,58265,8,7139,{45222},0,2,true,419130,1,0,50,Chargers,caught
15,20864,5,115469,{45222},0,4,true,1049564,4,0,52.27,Daredevils,caught
23,84138,10,38844,{45222},1,2,true,1961890,21,1,145.09,Guj Lions,caught
59,117588,6,192680,{45222},4,4,true,2385465,58,3,296.97,Kings XI,caught
7,51216,7,0,{45222},0,1,true,980913,3,0,42.85,Kings XI,run out
75,100565,16,231651,{45222},8,9,true,3480029,64,0,313.96,KKR,caught
14,45256,1,66143,{45222},3,2,true,829747,15,0,107.14,Mumbai,caught
54,218961,38,299187,{45222},5,13,true,4574003,36,0,282.81,RCB,caught
45,79309,6,70799,{45222},6,5,true,1359701,49,1,343.33,Royals,caught
38,77327,8,118927,{45222},6,6,true,2393455,44,0,310,Sunrisers,caught
37,71357,11,134436,{45222},2,3,true,2489403,30,1,289.88,Super Kings,caught
26,77170,13,94085,{45222},1,3,true,1049600,37,3,284.61,Warriors,caught
48,154687,10,169461,{45256},7,5,true,2995053,57,2,129.54,Daredevils,caught
1,51454,3,0,{45256},0,2,true,829805,1,0,100,KKR,run out
12,7568,1,45105,{45256},1,1,true,829795,13,1,108.33,RCB,caught
27,59600,3,70640,{45256},7,1,true,734041,50,2,185.18,Royals,caught
14,47055,4,53716,{45256},1,1,true,829815,9,0,64.28,Sunrisers,caught
74,145548,21,200856,{45256},5,7,true,3223424,83,5,368.01,Super Kings,caught
7,8163,7,0,"{45257,12894}",0,2,true,548380,10,1,142.85,Daredevils,run out
21,15851,1,0,"{45257,17850}",1,1,true,335991,18,1,85.71,Kings XI,run out
7,8742,1,0,"{45257,46206}",0,2,true,548322,10,1,142.85,Warriors,run out
17,8163,6,0,"{45257,48349}",2,1,true,392212,28,1,164.7,Chargers,run out
22,15473,2,0,"{45257,7593}",4,1,true,598022,25,0,113.63,KKR,run out
5,63224,7,0,"{45257,7593}",0,2,true,1254104,4,0,80,Mumbai,run out
44,2347,2,0,"{45257,7678}",6,1,true,392192,58,2,131.81,Chargers,run out
52,221436,12,130691,{45257},7,4,true,3541959,70,1,431.16,Capitals,caught
77,172876,31,169563,{45257},6,11,true,2746240,72,1,448.37,Chargers,caught
29,15887,2,0,{45257},3,2,true,548352,36,0,124.13,Chargers,run out
138,353085,38,217436,{45257},12,15,true,5790957,149,3,728.44,Daredevils,caught
9,51181,8,0,{45257},0,2,true,419114,4,0,44.44,Daredevils,run out
198,329400,43,304630,{45257},27,13,true,7008098,235,4,1086.61,Kings XI,caught
3,11399,3,0,{45257},0,1,true,392222,0,0,0,Kings XI,run out
169,375951,36,466756,{45257},16,17,true,7807098,172,6,941.39,KKR,caught
17,8989,3,45257,{45257},3,2,true,501261,19,0,111.76,Kochi,caught
150,449000,41,418757,{45257},14,11,true,7343267,156,3,690.49,Mumbai,caught
4,49040,4,0,{45257},0,2,true,829789,1,0,25,Mumbai,run out
25,250985,20,167873,{45257},1,4,true,3862208,23,2,272.85,Punjab Kings,caught
204,338708,29,336582,{45257},22,10,true,6301530,361,23,1171.09,RCB,caught
44,49752,2,0,{45257},2,2,true,829779,48,1,109.09,RCB,run out
119,392050,38,444709,{45257},15,17,true,7778639,130,1,807.69,Royals,caught
111,148184,28,212142,{45257},11,6,true,4685811,105,2,443.75,Sunrisers,caught
3,51454,3,0,{45257},1,2,true,1216528,4,0,133.33,Sunrisers,run out
6,51454,3,80607,{45257},0,2,true,1304053,5,0,83.33,Super Giants,caught
100,56667,23,151019,{45257},16,7,true,1792404,156,8,658,Super Kings,caught
45,51096,1,0,{45257},5,1,true,980949,53,0,117.77,Supergiants,run out
10,44946,2,46206,{45257},2,2,true,548330,9,0,90,Warriors,caught
16,49040,5,10556,{45258},2,1,true,598033,34,3,212.5,Mumbai,caught
42,61490,16,101382,{45258},6,3,true,1794069,43,0,280.75,Royals,caught
45,35384,5,0,"{45358,8742}",5,1,true,829733,60,2,133.33,Kings XI,run out
2,47347,7,0,"{45358,8742}",0,2,true,829781,1,0,50,Sunrisers,run out
13,44853,6,51050,{45358},1,2,true,501203,25,2,192.3,Chargers,caught
12,11399,4,51050,{45358},0,2,true,501230,9,1,75,Daredevils,caught
34,59601,2,48277,{45358},3,1,true,548323,38,1,111.76,Kings XI,caught
9,10553,5,10556,{45358},0,1,true,733979,11,1,122.22,Royals,caught
23,12701,3,45358,{45358},5,1,true,734037,26,1,113.04,Sunrisers,caught
53,61270,4,111429,{45358},3,2,true,1563746,65,5,125,Super Kings,caught
20,7716,4,2232,{45358},0,1,true,598061,30,3,150,Warriors,caught
19,53891,6,44853,{45443},1,1,true,1136582,26,1,136.84,Kings XI,caught
40,10125,1,12562,{45443},4,1,true,1136590,78,7,195,Super Kings,caught
9,60993,19,61203,{45487},0,4,true,920399,3,0,65,Chargers,caught
35,48359,1,45257,{45487},6,2,true,548306,50,3,142.85,Mumbai,caught
41,112913,9,90514,{45487},7,3,true,1002539,45,0,240.53,RCB,caught
1,4380,8,0,{45487},0,1,true,548318,1,0,100,RCB,run out
47,28155,10,62450,{45487},4,5,true,1468718,44,1,375.2,Royals,caught
10,46533,5,0,"{45554,7593}",0,2,true,829745,14,2,140,RCB,run out
2,10556,7,0,"{45554,8813}",0,1,true,548367,1,0,50,RCB,run out
82,190023,12,191958,{45554},13,8,true,3482273,119,4,697.94,Daredevils,caught
41,179548,22,180361,{45554},3,5,true,2649067,46,1,431.47,Kings XI,caught
180,292451,30,261752,{45554},18,11,true,4546424,257,16,1059.8,Mumbai,caught
147,299084,32,220112,{45554},18,13,true,6363684,169,4,591.08,RCB,caught
110,261965,36,279547,{45554},11,10,true,4228677,130,6,920.34,Royals,caught
116,222714,15,287569,{45554},15,10,true,4948818,148,4,636.66,Sunrisers,caught
66,87030,10,189699,{45554},4,6,true,2186398,77,3,368.03,Super Kings,caught
13,90094,11,59128,{45554},2,2,true,1196110,12,0,190.9,Warriors,caught
5,48319,8,0,"{45592,9989,7593}",0,2,true,335996,6,0,120,RCB,run out
66,18822,5,53494,{45592},15,4,true,671966,125,5,378.78,Kings XI,caught
24,19647,6,51453,{45592},1,1,true,335993,16,0,66.66,KKR,caught
11,1988,2,53549,{45592},4,2,true,335989,20,0,181.81,Mumbai,caught
49,12701,2,15267,{45592},6,1,true,419129,80,5,163.26,Royals,caught
28,7716,5,47078,{45617},3,1,true,392186,38,2,135.71,Kings XI,caught
47,64720,9,99704,{45617},6,2,true,784380,64,2,284.61,Royals,caught
11,54222,6,61325,{45772},1,1,true,1082633,6,0,54.54,Kings XI,caught
16,51454,4,61325,{45772},1,1,true,1082617,15,0,93.75,KKR,caught
49,26289,12,141330,{45890},7,5,true,1339472,55,1,311.1,Chargers,caught
13,47185,9,0,{45890},3,1,true,419132,22,0,169.23,Kings XI,run out
53,45554,1,51050,{45890},7,1,true,598050,47,0,88.67,Mumbai,caught
1,10406,1,48319,{45890},0,2,true,501202,0,0,0,Warriors,caught
4,50884,8,46206,{46206},1,1,true,548343,6,0,150,Kings XI,caught
10,51096,2,12894,{46206},3,1,true,548332,15,0,150,Royals,caught
50,12262,8,20352,{46206},6,4,true,1096660,50,1,200.63,Warriors,caught
14,50281,5,0,"{46533,10556}",0,1,true,548327,16,1,114.28,Warriors,run out
8,48405,4,0,"{46533,44814}",1,1,true,598033,10,0,125,Mumbai,run out
5,66722,10,0,"{46533,46597}",0,1,true,1136608,3,0,60,Kings XI,run out
6,47055,5,0,"{46533,51455}",0,1,true,501222,6,0,100,KKR,run out
10,51096,3,0,"{46533,53754}",1,1,true,501252,17,1,170,Royals,run out
2,8163,7,0,"{46533,8813}",0,1,true,419120,1,0,50,Chargers,run out
13,47055,5,0,"{46533,8813}",2,2,true,419128,17,0,130.76,RCB,run out
4,2041,10,0,"{46533,8813}",0,1,true,392206,3,0,75,Super Kings,run out
66,356955,16,368107,{46533},12,9,true,6157151,89,2,508.67,Capitals,caught
151,202378,39,239791,{46533},15,12,true,3736489,208,9,1007.02,Chargers,caught
152,301156,26,267176,{46533},18,7,true,5133551,215,11,596.35,Daredevils,caught
3,66143,11,0,{46533},0,1,true,829757,1,0,33.33,Daredevils,run out
82,121331,15,326530,{46533},10,11,true,6089166,121,8,573.75,Guj Lions,caught
212,599513,56,718706,{46533},22,23,true,12477851,247,9,1320.99,Kings XI,caught
223,750638,63,855647,{46533},24,21,true,14523101,260,11,1792.86,KKR,caught
29,11920,3,2041,{46533},2,1,true,548315,46,3,158.62,KKR,stumping
