fielders,isout,team,wickettype,Sum of balls,Sum of batsman_id,Sum of batsman_position,Sum of bowler_id,Sum of fours,Sum of innings,Sum of match_id,Sum of runs,Sum of sixes,Sum of strikerate
{70633},true,RCB,caught,140,398552,29,468855,16,12,9116000,176,5,809.87
{8742},true,Kings XI,caught,140,587052,57,590459,13,15,10171631,141,2,1136.91
0,true,Guj Lions,lbw,140,421049,34,761083,21,19,13565834,185,8,1174.07
{79159},true,Mumbai,caught,139,483947,24,509894,17,8,8803369,187,7,836.56
{8813},true,Kings XI,caught,139,569469,69,730309,21,26,11620619,171,5,1601.31
{8999},true,RCB,caught,139,427890,32,392970,12,13,6983670,155,6,753
{45257},true,Daredevils,caught,138,353085,38,217436,12,15,5790957,149,3,728.44
{51454},true,Sunrisers,caught,138,429906,36,326275,13,11,7234182,154,5,869.49
{54212},true,RCB,caught,138,247315,8,97689,17,5,5096590,190,7,476.12
{70633},true,Sunrisers,caught,137,454077,48,517170,10,16,9868266,134,4,751.27
{9900},true,KKR,caught,137,173806,21,357198,16,10,5348211,165,3,671.94
{53271},true,RCB,caught,136,324789,24,342487,14,8,7370332,163,6,588.7
{60530},true,Royals,caught,136,599080,46,745873,13,18,11733268,194,11,956.59
{61832},true,KKR,caught,136,394093,39,418365,19,14,8424831,146,2,719.09
{75325},true,Sunrisers,caught,136,497520,38,623929,20,14,10796857,191,6,811.54
{54222},true,Sunrisers,caught,134,413562,23,481255,17,10,8057260,171,5,787.06
{48739},true,Mumbai,caught,133,144563,10,253362,12,7,4930589,164,7,574.08
{49752},true,Kings XI,caught,132,384109,47,471015,12,15,8465715,148,5,1269.61
{50281},true,Super Kings,caught,132,212092,36,366135,12,11,5047821,151,2,743.5
{67455},true,Super Kings,caught,132,271453,26,390673,11,8,6998343,146,4,528.82
{12562},true,Sunrisers,caught,131,240618,8,232180,19,4,4782630,147,1,403.74
{60530},true,Mumbai,caught,131,338025,15,495199,13,10,7222054,152,7,649.54
{6315},true,Chargers,caught,131,101034,21,146016,18,8,3220584,183,7,1039.77
{2281},true,Daredevils,caught,130,120560,21,138825,22,8,3581494,179,6,873.28
{86165},true,RCB,caught,130,456527,37,407445,16,13,9499780,175,5,778.53
{64479},true,Royals,caught,129,354724,21,387127,27,9,6388268,224,10,667.84
{51092},true,RCB,caught,128,251785,10,261865,25,6,4911245,189,5,576.17
{64479},true,Kings XI,caught,127,355781,34,437845,22,14,8900627,176,5,873.46
{8813},true,Sunrisers,caught,127,563287,44,619319,22,17,11253938,193,6,1364.77
{9587},true,Super Kings,stumping,127,75656,10,153472,14,7,1758675,144,5,459.12
{12894},true,Royals,caught,126,363473,36,410241,8,13,7918942,118,2,765.43
{61999},true,RCB,caught,126,344461,15,392483,14,7,6254380,159,5,592.83
{10556},true,KKR,caught,125,91099,17,114439,17,5,2370322,154,5,589.64
{11399},true,Kings XI,caught,125,93657,21,273537,18,6,3389547,139,3,581.12
{46933},true,Kings XI,caught,125,215610,21,207297,16,8,5057202,192,10,423.89
{49752},true,Sunrisers,caught,125,531104,55,519871,7,16,10699832,116,3,809.25
{10125},true,Mumbai,caught,124,275617,20,341360,20,10,5473808,168,3,847.14
{49040},true,Warriors,caught,124,127157,27,164116,18,7,2793856,149,1,591.62
{48405},true,Daredevils,caught,123,295476,32,353382,18,20,8110176,139,3,1060.19
{48739},true,RCB,caught,123,511424,72,766459,4,22,12953692,126,9,1266.12
{51012},true,Mumbai,caught,123,381429,30,401253,14,9,7429432,219,18,966.64
{59600},true,KKR,caught,123,165267,15,366961,22,9,6424076,178,5,694.6
{63477},true,KKR,caught,122,122022,11,223981,15,6,4781590,164,7,461.79
{71331},true,Super Kings,caught,121,287677,25,473449,14,12,9462174,135,2,675.42
{10129},true,Mumbai,caught,120,83900,19,218639,18,9,2950914,154,3,485.85
{10384},true,RCB,caught,120,118306,32,97031,11,11,3594381,132,7,423.63
{51454},true,Royals,caught,120,281759,23,268531,12,6,5100693,150,3,579.96
{60737},true,Mumbai,caught,120,400500,29,453455,12,10,7728754,143,4,650.68
{67296},true,Sunrisers,caught,120,376006,30,435549,12,12,8418403,143,5,625.78
{45257},true,Royals,caught,119,392050,38,444709,15,17,7778639,130,1,807.69
{59600},true,Mumbai,caught,119,221697,17,168621,11,5,3761258,162,10,553.11
{60530},true,KKR,caught,119,382694,19,521915,19,9,8920307,216,15,1121.89
{60530},true,RCB,caught,119,454647,21,438538,10,7,7557510,132,4,618.26
{7781},true,Kings XI,caught,119,149127,20,230552,18,10,2992633,175,8,859.58
{11984},true,Chargers,caught,118,9076,7,24545,10,5,1147349,110,3,275.51
{47055},true,Super Kings,caught,118,297320,20,218629,9,11,6072846,154,10,933.32
{86109},true,Royals,caught,118,327178,23,352788,17,9,6245318,147,3,623.08
{8742},true,Mumbai,stumping,118,127691,21,178105,15,9,3637818,150,4,490.27
{8999},true,KKR,caught,118,510599,50,481572,15,16,10013179,136,3,957.13
{49040},true,Chargers,caught,117,121079,17,200021,7,7,2436152,145,9,628.94
{15473},true,Daredevils,caught,116,241636,30,196594,14,10,4312277,133,2,797.65
{4176},true,Super Kings,caught,116,162143,22,275868,11,11,4179137,123,6,894.9
{45554},true,Sunrisers,caught,116,222714,15,287569,15,10,4948818,148,4,636.66
{47123},true,Super Kings,caught,116,94432,40,286574,13,13,4320815,158,11,1150.4
{50810},true,RCB,caught,116,113834,10,157360,7,6,2066765,113,3,389.13
{61325},true,Kings XI,caught,116,224629,20,183106,26,7,3723170,197,5,628.15
{15887},true,Kings XI,caught,115,328936,45,363018,13,16,6378281,137,4,790.37
{60806},true,KKR,caught,115,474648,38,527151,11,12,9075598,137,4,609.43
{7781},true,Royals,caught,115,150973,28,266763,14,10,3137511,129,3,606.08
{96392},true,Super Kings,caught,115,243251,17,392070,18,5,6370435,180,10,671.08
{2281},true,Super Kings,run out,114,10494,6,0,27,5,1409334,185,3,472.53
{54212},true,Punjab Kings,caught,114,183321,11,232803,16,5,3973058,152,6,413.16
{58185},true,Sunrisers,caught,114,197304,26,204800,14,5,2990271,112,1,417.77
{71331},true,RCB,caught,114,330268,32,396640,11,9,7024862,152,6,672.15
{60530},true,Super Kings,caught,113,218367,18,408825,14,12,7442754,139,4,521.56
{60806},true,RCB,caught,113,355527,27,463934,18,12,9196165,120,3,905.97
{61999},true,Sunrisers,caught,113,170010,13,236617,11,6,4594721,112,3,420.48
{70633},true,Royals,caught,113,452891,37,480778,12,12,8643867,134,1,720.95
{8821},true,KKR,caught,113,43633,14,132338,16,8,2269946,156,5,427.13
0,true,Supergiant,lbw,113,362166,30,412386,14,13,8661060,131,2,718.21
{59601},true,Daredevils,caught,112,179493,24,240239,16,9,3392177,147,7,538.03
{61990},true,RCB,caught,112,382655,23,480622,11,10,8056013,133,7,770.82
{6315},true,Super Kings,caught,112,23496,11,82728,15,5,1824907,146,7,533.3
{12701},true,KKR,caught,111,434686,44,436659,13,15,8106785,109,1,1042.77
{45257},true,Sunrisers,caught,111,148184,28,212142,11,6,4685811,105,2,443.75
{1934},true,Kings XI,caught,110,157030,19,151590,10,7,2089511,147,7,497.33
{45554},true,Royals,caught,110,261965,36,279547,11,10,4228677,130,6,920.34
{47123},true,Daredevils,caught,110,132158,20,139036,16,7,2698195,142,4,596.54
{72393},true,Sunrisers,caught,110,589423,39,579491,13,13,10297595,136,6,1036.44
{47055},true,Kings XI,caught,109,150138,15,106216,17,6,2864085,139,4,582.05
{48405},true,Sunrisers,caught,109,471213,49,605773,11,15,10099401,122,3,865.64
{48739},true,Daredevils,caught,109,277737,22,241616,9,8,5191062,132,6,566.89
{53320},true,Mumbai,caught,109,206346,15,244832,16,5,4694111,152,4,546.31
{59599},true,KKR,caught,109,349529,29,438763,13,8,8050608,187,15,992.26
{7632},true,KKR,caught,109,96580,17,71342,8,5,1427193,125,4,509.24
{95316},true,Capitals,caught,109,314993,14,312617,10,7,4783742,138,7,443.81
{49039},true,Mumbai,caught,108,271518,16,299770,11,7,4615416,143,8,524.78
{51482},true,Royals,caught,108,183211,13,187795,11,4,3958684,140,7,477.63
{61832},true,Sunrisers,caught,108,380773,33,473120,7,14,7776805,109,4,812.61
{63477},true,Sunrisers,caught,108,257146,14,170834,16,7,4962751,151,4,574.24
{7593},true,RCB,stumping,108,323808,22,110776,6,11,5581273,102,4,484.3
0,true,Kochi,lbw,108,144376,23,234797,12,9,3508667,103,3,544.01
{58406},true,KKR,caught,107,724838,48,824587,7,20,14662454,108,7,828.03
{60806},true,Super Kings,caught,107,329784,33,491695,9,11,8995012,145,9,839.78
{7139},true,KKR,caught,107,231369,28,192565,13,9,5961518,148,8,926.73
{59599},true,Titans,caught,106,249285,6,229811,18,5,3912218,152,3,402.89
{7419},true,Super Kings,caught,106,31684,14,35541,14,6,1778795,181,11,622.81
{52161},true,Capitals,caught,105,326954,11,370646,13,7,5968279,125,3,508.83
{59339},true,KKR,caught,105,203347,14,159252,17,8,4026282,144,7,505.26
{47023},true,Super Kings,caught,104,101011,8,28280,12,3,1644990,127,3,389.58
{49247},true,Warriors,caught,104,111583,12,179164,6,6,2295275,81,0,293.2
{51454},true,RCB,caught,104,531251,48,667190,13,17,12034024,137,8,1063.97
{7129},true,Royals,caught,104,12194,5,72811,15,5,1482394,114,1,332.33
{8742},true,Royals,caught,104,210274,25,142880,11,9,3445870,107,2,607.92
{8742},true,Super Kings,caught,104,246563,59,390539,6,14,7237285,116,7,967.87
{12894},true,RCB,caught,103,368351,26,387292,18,11,7275972,124,2,613.18
{49342},true,Royals,caught,103,180592,17,156464,16,8,3172771,117,0,642.18
{49752},true,Capitals,caught,103,438117,27,465736,12,10,7815077,152,8,798.5
{67455},true,Daredevils,caught,103,309113,23,359854,14,8,5498004,142,5,734.04
{8742},true,RCB,caught,103,236907,30,373147,9,14,7591189,108,6,928.09
0,true,Sunrisers,hitwicket,103,252254,20,297830,13,8,5413541,158,8,777.94
{12601},true,RCB,caught,102,25117,8,110557,21,3,1421633,188,10,517.34
{15716},true,KKR,caught,102,206047,28,264671,7,8,6382509,119,7,934.51
{35812},true,Royals,caught,102,214233,24,229783,15,8,4625595,124,1,586.55
{49361},true,Daredevils,caught,102,102691,8,65823,16,4,1285662,132,3,434.02
{51096},true,Sunrisers,caught,102,429922,33,337735,8,9,7468426,103,2,668.36
{51454},true,Guj Lions,caught,102,72296,8,214248,21,8,4228814,177,9,704.2
{63224},true,Capitals,caught,102,528336,47,578578,12,13,10125398,119,4,862.57
{70405},true,Royals,caught,102,321296,20,492825,13,10,7579073,135,7,872.85
{11920},true,Kings XI,caught,101,202948,34,168801,14,7,3937657,120,1,769.08
{51482},true,KKR,caught,101,197994,30,268634,14,12,6603629,140,7,1006.35
{70633},true,Kings XI,caught,101,219362,15,273951,12,7,5667803,158,9,798.07
{95094},true,Capitals,caught,101,309627,19,317291,11,9,6531407,129,7,501.84
{45105},true,KKR,caught,100,136260,26,179326,7,8,3451077,106,4,495.76
{45257},true,Super Kings,caught,100,56667,23,151019,16,7,1792404,156,8,658
{12701},true,Royals,caught,99,249885,19,345948,14,13,5006832,100,1,659.23
{47624},true,Mumbai,caught,99,171481,40,182045,13,13,4281224,117,3,814.74
{54222},true,Mumbai,caught,99,254044,18,319392,17,10,5915475,175,10,702.99
{59261},true,Mumbai,caught,99,328183,20,371610,13,9,6603747,114,4,451.21
{63509},true,KKR,caught,99,224512,10,263116,12,5,4630000,120,5,399.66
{75347},true,Super Giants,caught,99,227360,14,273299,11,4,5327183,139,9,495.22
{75591},true,Mumbai,caught,99,256353,11,227780,11,5,4713901,117,4,477.25
{7593},true,Sunrisers,stumping,99,270983,20,196805,9,5,5485291,139,8,798.32
{7716},true,Daredevils,caught,99,204760,22,133928,14,8,2938638,113,2,715.34
